제목,작성자,작성일,URL,본문,댓글데이터,댓글개수
🌟성균관대학교 글로벌경제학과 알리미의 수능 응원🌟,성균관대글제알리미,2025-10-13 21:00:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29025856?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,"안녕하세요, 성균관대학교 글로벌경제학과 알리미입니다.2026학년도 대학수학능력시험이 어느새 D-30으로 다가왔습니다.​하루하루 최선을 다하고 있는 수험생 여러분,요즘처럼 갑작스레 쌀쌀해진 날씨에는 건강 관리에 유의하시기 바랍니다.입시의 마지막 순간까지, 제리미가 여러분의 곁에서 응원하겠습니다! ​입시 관련 문의는📩 @skku_ge_alimi 인스타그램 DM 또는💬 카카오톡 오픈채팅방https://open.kakao.com/o/gzapM2Ph을 통해 부탁드립니다.",[작성자:FastTurtle|내용:감사합니다 파이팅!!|날짜:2025.10.13. 21:03] || [작성자:FastTurtle|내용:감사합니다 파이팅!!|날짜:2025.10.13. 21:03] || [작성자:FastTurtle|내용:감사합니다 파이팅!!|날짜:2025.10.13. 21:03] || [작성자:FastTurtle|내용:감사합니다 파이팅!!|날짜:2025.10.13. 21:03] || [작성자:unknown|내용:2025.10.13. 21:03답글쓰기1|날짜:2025.10.13. 21:03] || [작성자:unknown|내용:2025.10.13. 21:03답글쓰기|날짜:2025.10.13. 21:03],6
유삼환t 논술의 정석 구합니다,강낭콩땡콩,2025-10-13 19:14:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29025753?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,유삼환t 논술의 정석 성균관대 편 구합니다!중고도 괜찮으니 연락주세요!(가격제안받습니다),댓글없음,0
성대 글경vs한양대 경영,제발제가원해요,2025-10-13 16:01:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29025596?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,둘 중 뭐가 나아욤성대 글로벌 경영 전공수업 영어라 힘들 것 같아서 쫄리능데ㅜㅜㅠ취업에 차이 있을까요,[작성자:cookinghojlund|내용:차이가 옶을거 같아요ㅠㅠ|날짜:2025.10.13. 16:02] || [작성자:cookinghojlund|내용:차이가 옶을거 같아요ㅠㅠ|날짜:2025.10.13. 16:02] || [작성자:cookinghojlund|내용:차이가 옶을거 같아요ㅠㅠ|날짜:2025.10.13. 16:02] || [작성자:cookinghojlund|내용:차이가 옶을거 같아요ㅠㅠ|날짜:2025.10.13. 16:02] || [작성자:unknown|내용:2025.10.13. 16:02답글쓰기1|날짜:2025.10.13. 16:02] || [작성자:unknown|내용:2025.10.13. 16:02답글쓰기|날짜:2025.10.13. 16:02],6
발표일정 질문,liliiiiiilllliiiiii,2025-10-13 14:15:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29025498?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,성균관대 1차 발표도 조기발표 일수도 있나요?,[작성자:열혈새내기|내용:넵|날짜:2025.10.13. 22:13] || [작성자:열혈새내기|내용:넵|날짜:2025.10.13. 22:13] || [작성자:열혈새내기|내용:넵|날짜:2025.10.13. 22:13] || [작성자:열혈새내기|내용:넵|날짜:2025.10.13. 22:13] || [작성자:unknown|내용:2025.10.13. 22:13답글쓰기0|날짜:2025.10.13. 22:13] || [작성자:unknown|내용:2025.10.13. 22:13답글쓰기|날짜:2025.10.13. 22:13],6
유삼환T <성균관대 언어형 논술 필승 전략> 후기,안녕하새연,2025-10-12 22:16:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29025053?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,"이글은 교재 지급이벤트로 작성되어진 글임을 알려드립니다.​성균관대 논술관대 책을 구입하려 했지만 절판되어 대안을 찾던 중, 유삼환 선생님의 <성균관대 언어형 논술 필승 합격 전략〉을 선택하게 되었습니다. ​자료와 함께 공부하면서, 단순히 문제풀이에 그치지 않고 답안 작성 형식과 사고방식까지 체계적으로 익힐 수 있다는 것이 큰 도움이 된다고 느꼈습니다​성균관대 논술은 정형화된 구조임에도 독학으로 공부하면서 자료해석에 어려움을 느끼곤 했었습니다. 교재에서는 제가 해결할 수 있는 포인트를 집어주셔서 단순히 예시답안만 보고 공부하던 때와는 다르게 방향을 잡을 수 있었습니다. ​또한 여러번 합격한 선생님의 시험운용 팁 덕분에 시험 전 마인드셋 하고 들어갈 수 있는 방법을 얻어 좋았습니다! ​PDF만으로 부족한 것 아닐까 싶을 수도 있지만, 약 50페이지 분량 속에 각 장마다 답안 작성 팁이 알차게 담겨 있어 매우 유용한 자료라고 생각합니다. ​자세한 정보가 궁금하시다면 아래 링크 참고하시면 좋을 것 같습니다!https://youtu.be/pWWaydYDZ1A?si=-Gs9zsVfeSWpQVRP",댓글없음,0
인문논술 성균관대 <성균관대 언어형 논술 필승 합격 전략> 공부 후기,serendipityang,2025-10-12 18:21:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29024850?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,"*유삼환님이 운영하시는 논술 정보 오픈채팅방을 통해 추가 교재를 지급받는 조건으로 본 교재 후기를 작성하게 되었음을 알려드립니다.​안녕하세요. 제가 성균관대 논술을 독학으로 준비하면서 많은 도움이 된 <성균관대 언어형 논술 필승 합격 전략>에 대한 후기를 남깁니다. ​일단, 저는 연대를 중점적으로 준비를 했기에, 나머지 지원한 학교의 논술 스타일에 대해서 알지 못했습니다. 연세대 논술시험이 끝난 후 다른 학교를 준비해야할 것 같아서, 성대 논술 준비를 시작하였는데, 독학으로 하는거라 인터넷 자료에 의존할 수 밖에 없었습니다. 성대는 연대에 비해 자료가 부족했고, 성대만의 논술 스타일에 대해 갈피를 잡기 어려운 상태였습니다. 그러던 중에 유삼환님의 교재를 발견하게 되고, 독학하는데에 많은 도움이 될 것같아서 치킨 한번 참고 구매해보자라는 심정으로 본 교재를 구매하게 되었습니다.​논술의 정석 성균관대편을 구매하고 싶었지만, 현재 절판되어 구매할 수가 없었습니다.그래서 찾아보다가 유삼환T가 대체제로 내신 <성균관대 언어형 논술 필승 합격 전략>을 접하게 되었습니다.​이 교재는 문제별로 접근하는 태도부터 답안작성 그리고 시험 운용에 대해 상세히 서술되어 있었습니다. 줄글임에도 중요한 부분은 한눈에 파악할 수 있었습니다. ​1. 성대는 문제 유형이 정해져 있고, 시간어택도 심한 시험이다보니 많은 반복과 연습을 통해 답안 작성 형식을 익혀야 한다고 생각했습니다. 이 책은 그에 관해 정말 자세히 잘 써져있었습니다. ​2. 성대논술 시험은 도표가 꽃이라고 생각하는데 그에 관한 풀이 방법과, 주의할 점, 답안 형식 마지막으로 합격답안의 포인트를 정말 합리적이고 자세히 설명하고 있습니다.(이 교재를 공부하면서 제일 좋았던 점은 합격답안의 포인트입니다. 연대논술 준비하면서 과외와 학원을 모두 다녀봤지만, 이러한 점을 파이널 기간엔 (알려주긴 하지만)자세히 알려주지 않는 경우가 있어서 현재 학원을 다니더라도 참고해볼만한 자료인 것 같습니다.)​3. 이 책은 학생이 논술을 푸는데에 있어서 어려움을 해결할 수 있는 보완책도 제시해줍니다. 가령, 문제2번에서 답 찾기를 어려워 할 경우 실력을 기르는데 도움이 될 만한 기출을 추천해 주셔서 많은 도움이 되었습니다.​4. 문제3 같은 경우는 자신의 견해를 쓰는 것이라 어떻게 써야할지 제일 막막했습니다. 그러나 이 책에서 어떻게 써야하고 나아가 합격포인트도 써있어서 너무 좋았습니다.​5. 마지막장에 시험운용에 관해 자세하게 써주셔서 문제별로 어느정도 시간을 잡아서 해야할지 감이 잡혔고, 나머지 기간동안 어떻게 논술 공부를 할지 깨닫게 되었습니다.​처음에 쌩으로 성대논술을 썼을 때에 비해 교재에서 제시해준 형식과 주의할 점을 고려하여 쓰니까 논술글이 깔끔해졌습니다. 아직 많이 부족하지만 열심히 하다보면 좋은 성과가 있을 거라고 기대합니다. 마지막으로 이 책은 성균관대 논술을 독학하는 학생들에게 매우 유용하고 한줄기의 빛같은 정말 양질의 교재임을 자부합니다. 그리고 학원과 과외를 하는 학생들도 저자의 합격 변별 포인트를 배울 수 있기에 추천드립니다.​​교재에 대한 자세한 설명과 안내는 아래의 링크에서 확인하실 수 있습니다.https://youtu.be/pWWaydYDZ1A?si=-Gs9zsVfeSWpQVRP​도움이 되시길 바랍니다!",댓글없음,0
<성균관대 언어형 논술 필승 합격 전략>학습 후기,둘기answ,2025-10-12 15:49:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29024731?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,"[이 글은 추가 교재 지급 이벤트를 조건으로 작성된 것임을 알려드립니다!]​<구성>​1. <성균관대 언어형 논술의 필승 합격 전략> 교재 및 2026학년도 성균관대 모의논술 유삼환 실전 풀이 문제지/답안지 스캔본​2. <성균관대 언어형 논술의 필승 합격 전략> 교재 SUB 강의​3. 2026학년도 성균관대 모의논술 유삼환 실전 풀이 녹화​저는 논술을 중점적으로 공부하고 있는 재수생으로 7개월간 대치동에서 논술 강의를 들어왔는데요, 대학별 파이널 기간인 지금까지도 대치동 강의를 듣고 있지만 ,성균관대 만큼은 자료,내용 면에서 부족함을 느껴 보완재를 찾던 중 수만휘에서<성균관 대 언어형 논술 필승 합격 전략>을 알게되었고 학습하게 되었습니다.​<학습 후기><성균관대 언어형 논술 필승 합격 전략>의 가장 핵심인 ""교재""에서는 각각 문제들의 작성법 및 시험 운용 방식에 대한 내용들이 들어있는데요, 성균관대 논술 공부를 계속 해왔던 저이지만 내용적인 면에 있어 제가 몰랐던 작성 포인트들이나 고득점 문장 구성 같은 것들을 알게되어 매우 유익했습니다.또한 제가 알고는 있었지만(이렇게 쓰면 좋지 않을까~~?)하고 생각했던 내용들도 이 교재를 통해 암묵지-> 명시지로 체화할 수 있었습니다. 설명을 통해 왜 이런 내용들이 꼭 들어가야만 하는지를 제가 납득하며 공부할 수 있어서 체화가 더욱 수월했어요. pdf만으로도 마치 과외를 받는것 같은 느낌이었습니다👍교재에 대한 강의가 있음은 물론이고, 저 개인적으로 시험 운용면에서 굉장히 막막했는데 선생님의 실전 풀이 스캔본,그리구 실전 풀이 녹화같은 것들이 있어 정말 좋았습니다! ​​<성균관대 언어형 논술의 필승 합격 전략>관련 영상 링크 첨부합니다.​https://youtu.be/pWWaydYDZ1A?si=-Gs9zsVfeSWpQVRP​​​​",댓글없음,0
논술의 정석-성균관대편 (유삼환 저) --책 구합니다.,다복이집사,2025-10-11 10:20:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29023721?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,사용감 있어도 괜찮으니 판매할 의향이 있으신 분은 쪽지주세요.,[작성자:올해대학갑니닷|내용:쪽지남겼어용‘|날짜:2025.10.11. 15:48] || [작성자:올해대학갑니닷|내용:쪽지남겼어용‘|날짜:2025.10.11. 15:48] || [작성자:올해대학갑니닷|내용:쪽지남겼어용‘|날짜:2025.10.11. 15:48] || [작성자:올해대학갑니닷|내용:쪽지남겼어용‘|날짜:2025.10.11. 15:48] || [작성자:unknown|내용:2025.10.11. 15:48답글쓰기0|날짜:2025.10.11. 15:48] || [작성자:unknown|내용:2025.10.11. 15:48답글쓰기|날짜:2025.10.11. 15:48],6
2026 THE 세계대학평가,JDC S,2025-10-10 09:36:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29022928?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,https://n.news.naver.com/article/009/0005570591?sid=102 서울대·카이스트·연세대·성균관대…세계 대학평가 100위 안에 안착 2026 THE 세계 대학평가 연대·성대 순위 대폭 오르며 서울대·KAIST와 함께 포함 고대는 33계단 뛰어올라 눈길 아시아 톱10 배출에는 실패 한국 대학들이 글로벌 무대에서 존재감을 넓혀가고 있다. 영국 대학평 n.news.naver.com 따끈따끈한 대학평가 결과입니다.수험생 입장에선 10~20년 후를 내다보는 결정을 해야하는데… 이러한 지표는 참고할만 하겠습니다,"[작성자:WHITE ICEA ME RICANO|내용:연구 중심대학 연대 성대가 100위권 안으로 진입이군요투자하는 대학 가천대가 500위권으로 급부상! 서강대는 800위권ㅜ.ㅜ시대는 변하고 있고, 대학도 따라 변하네요10년 후, 20년 후 성한서 또 많이 변하겠지요|날짜:2025.10.10. 16:28] || [작성자:WHITE ICEA ME RICANO|내용:연구 중심대학 연대 성대가 100위권 안으로 진입이군요투자하는 대학 가천대가 500위권으로 급부상! 서강대는 800위권ㅜ.ㅜ시대는 변하고 있고, 대학도 따라 변하네요10년 후, 20년 후 성한서 또 많이 변하겠지요|날짜:2025.10.10. 16:28] || [작성자:WHITE ICEA ME RICANO|내용:연구 중심대학 연대 성대가 100위권 안으로 진입이군요투자하는 대학 가천대가 500위권으로 급부상! 서강대는 800위권ㅜ.ㅜ시대는 변하고 있고, 대학도 따라 변하네요10년 후, 20년 후 성한서 또 많이 변하겠지요|날짜:2025.10.10. 16:28] || [작성자:WHITE ICEA ME RICANO|내용:연구 중심대학 연대 성대가 100위권 안으로 진입이군요투자하는 대학 가천대가 500위권으로 급부상! 서강대는 800위권ㅜ.ㅜ시대는 변하고 있고, 대학도 따라 변하네요10년 후, 20년 후 성한서 또 많이 변하겠지요|날짜:2025.10.10. 16:28] || [작성자:unknown|내용:2025.10.10. 16:28답글쓰기7|날짜:2025.10.10. 16:28] || [작성자:unknown|내용:2025.10.10. 16:28답글쓰기|날짜:2025.10.10. 16:28]",6
성균관대,hjw0839,2025-10-09 00:40:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29022165?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,"성균관대 글로벌리더 학과 가려면 어떤 과목 선택해야하나요? 제가 지금 화학,생명,유전,윤리했어요","[작성자:경청경청|내용:게시글 속 질문에 대한 답이 아니긴 하다만,성균관대학교 글로벌리더학부에 가고 싶어진 이유가 무엇인가요?|날짜:2025.10.09. 00:44] || [작성자:경청경청|내용:게시글 속 질문에 대한 답이 아니긴 하다만,성균관대학교 글로벌리더학부에 가고 싶어진 이유가 무엇인가요?|날짜:2025.10.09. 00:44] || [작성자:경청경청|내용:게시글 속 질문에 대한 답이 아니긴 하다만,성균관대학교 글로벌리더학부에 가고 싶어진 이유가 무엇인가요?|날짜:2025.10.09. 00:44] || [작성자:경청경청|내용:게시글 속 질문에 대한 답이 아니긴 하다만,성균관대학교 글로벌리더학부에 가고 싶어진 이유가 무엇인가요?|날짜:2025.10.09. 00:44] || [작성자:unknown|내용:2025.10.09. 00:44답글쓰기0|날짜:2025.10.09. 00:44] || [작성자:unknown|내용:2025.10.09. 00:44답글쓰기|날짜:2025.10.09. 00:44]",6
유삼환 T 논술의 정석 성균관대편 교재 구합니다,1828383,2025-10-08 00:55:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29021509?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,판매 의향 있으신 분 연락주세요..🥹,[작성자:하치와레임니다|내용:쪽지로 연락처 부탁드려요|날짜:2025.10.08. 09:54] || [작성자:하치와레임니다|내용:쪽지로 연락처 부탁드려요|날짜:2025.10.08. 09:54] || [작성자:하치와레임니다|내용:쪽지로 연락처 부탁드려요|날짜:2025.10.08. 09:54] || [작성자:하치와레임니다|내용:쪽지로 연락처 부탁드려요|날짜:2025.10.08. 09:54] || [작성자:unknown|내용:2025.10.08. 09:54답글쓰기|날짜:2025.10.08. 09:54] || [작성자:unknown|내용:2025.10.08. 09:54답글쓰기|날짜:2025.10.08. 09:54],6
유삼환T 논술의정석 (성대편) 중고 구합니다.,너희는최고다,2025-10-07 15:56:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29021122?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,"어느정도 사용감 있어도 괜찮습니다.중고 구입하고 싶은데, 채팅으로 연락부탁드립니다. 댓글 주시면 확인하겠습니다. 가격 제시 해 주세요.​",[작성자:하치와레임니다|내용:필요하시면 연락처주세요|날짜:2025.10.07. 23:44] || [작성자:하치와레임니다|내용:필요하시면 연락처주세요|날짜:2025.10.07. 23:44] || [작성자:하치와레임니다|내용:필요하시면 연락처주세요|날짜:2025.10.07. 23:44] || [작성자:하치와레임니다|내용:필요하시면 연락처주세요|날짜:2025.10.07. 23:44] || [작성자:unknown|내용:2025.10.07. 23:44답글쓰기0|날짜:2025.10.07. 23:44] || [작성자:unknown|내용:2025.10.07. 23:44답글쓰기|날짜:2025.10.07. 23:44],6
성대 한문교육 면접,Haaaaaaay,2025-10-07 15:00:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29021091?boardtype=L&userDisplay=50&menuid=299&referrerAllArticles=false&page=1,성대 한문교육 재학생이시거나 수험생 분들면접 준비 어떻게 하고 계신가요 1차 전부터 해야할까요?,[작성자:대학가고싶어라라|내용:한교는 아니고 사범대생인데 그냥 1차합 하시면 한 2-3일 빡세게 하시면 됩니다... 면접 자체가 엄청 형식적이에요|날짜:2025.10.08. 10:49] || [작성자:대학가고싶어라라|내용:한교는 아니고 사범대생인데 그냥 1차합 하시면 한 2-3일 빡세게 하시면 됩니다... 면접 자체가 엄청 형식적이에요|날짜:2025.10.08. 10:49] || [작성자:대학가고싶어라라|내용:한교는 아니고 사범대생인데 그냥 1차합 하시면 한 2-3일 빡세게 하시면 됩니다... 면접 자체가 엄청 형식적이에요|날짜:2025.10.08. 10:49] || [작성자:대학가고싶어라라|내용:한교는 아니고 사범대생인데 그냥 1차합 하시면 한 2-3일 빡세게 하시면 됩니다... 면접 자체가 엄청 형식적이에요|날짜:2025.10.08. 10:49] || [작성자:unknown|내용:2025.10.08. 10:49답글쓰기1|날짜:2025.10.08. 10:49] || [작성자:unknown|내용:2025.10.08. 10:49답글쓰기|날짜:2025.10.08. 10:49],6
