제목,작성자,작성일,URL,본문,댓글데이터,댓글개수
예비고3  업체별 윈터스쿨 확정일?,핑크레빗3,2025-10-22 17:05:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29036100?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,안녕하세요예비고3 윈터스쿨강대와 러셀 대기걸어둔 상태인데업체별로 대기만받고 언제쯤 확정이돼서대기자도 연락이 올까요?대기로 못들어가면시작전에도 추가접수도 가능할까요?혹 경험있으시거나 아시는분있으시면댓글부탁드려요,[작성자:망고33|내용:러셀은 27일까지 잔금 납부하라는 문자 왔어요. 그때 안 하면 취소된단 멘트는 없는데 그 즈음 정리하지 않을까 싶어요|날짜:2025.10.22. 22:46] || [작성자:망고33|내용:러셀은 27일까지 잔금 납부하라는 문자 왔어요. 그때 안 하면 취소된단 멘트는 없는데 그 즈음 정리하지 않을까 싶어요|날짜:2025.10.22. 22:46] || [작성자:망고33|내용:러셀은 27일까지 잔금 납부하라는 문자 왔어요. 그때 안 하면 취소된단 멘트는 없는데 그 즈음 정리하지 않을까 싶어요|날짜:2025.10.22. 22:46] || [작성자:망고33|내용:러셀은 27일까지 잔금 납부하라는 문자 왔어요. 그때 안 하면 취소된단 멘트는 없는데 그 즈음 정리하지 않을까 싶어요|날짜:2025.10.22. 22:46] || [작성자:unknown|내용:2025.10.22. 22:46답글쓰기0|날짜:2025.10.22. 22:46] || [작성자:unknown|내용:2025.10.22. 22:46답글쓰기|날짜:2025.10.22. 22:46],6
생명과학1,주희2,2025-10-22 16:53:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29036050?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"생명과학 추론형 문제 중에서 2문제 정도 풀어내고 싶은데, 근수축은 풀 수 있을 것 같고 나머지 한 문제를 무엇을 풀지 고민입니다.막전위와 세포매칭 중에서 더 난이도가 낮은 문제는 뭔가요? 매번 난이도가 다른가요?",댓글없음,0
수능 성적 고민입니다,고소미치즈,2025-10-22 16:27:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29036011?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,성적 등락폭이 심하네요국어 2등급 수학 높3등급 탐2개 1등급 영어1수학이 대부분 2등급인데 수능날 잘 못보면 떨어질거 같아요수학 3이면 중경시는 불가죠?이과입니다,[작성자:toosadtocry|내용:낮과 될거같아여|날짜:2025.10.22. 23:32] || [작성자:toosadtocry|내용:낮과 될거같아여|날짜:2025.10.22. 23:32] || [작성자:toosadtocry|내용:낮과 될거같아여|날짜:2025.10.22. 23:32] || [작성자:toosadtocry|내용:낮과 될거같아여|날짜:2025.10.22. 23:32] || [작성자:unknown|내용:2025.10.22. 23:32답글쓰기0|날짜:2025.10.22. 23:32] || [작성자:unknown|내용:2025.10.22. 23:32답글쓰기|날짜:2025.10.22. 23:32],6
메가교재 추천해주세요 3만원정도 ㅠㅠ,노랭이노랭,2025-10-22 15:43:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29035945?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"돈이 남게 생겼네요 ㅠㅠㅠ국어, 영어, 과탐생지 이렇게 공부중이고내년에 수능보려고합니다​국영 1-2등급과탐 2등급 목표입니다​​국어 강민철 강기분듣고새기분 차롄데 1강 들어보니 교재까지 필요할까마더텅 풀면서필요한 부분만 들어도되지않을까 고민하고 있는데새기분 교재 필요할까요?​​영어 마찬가지로 마더텅 푸는중인데 현역때도 독학해서독학하려고합니다​생명과학한종철 개념만 들었는데mdgc 사는게 좋겠죠?​지학오지훈 매개완 듣고오즈기출 있어요추가로 사놓으면 내년에 쓰기좋을 교재있을까요?​​이외에 돈 쓰면 안아까울교재 있을까요 흑흑",[작성자:제발 가자 올해는|내용:한종철 알지비도 좋아요!|날짜:2025.10.22. 15:44] || [작성자:제발 가자 올해는|내용:한종철 알지비도 좋아요!|날짜:2025.10.22. 15:44] || [작성자:unknown|내용:한종철 알지비도 좋아요!|날짜:unknown] || [작성자:제발 가자 올해는|내용:한종철 알지비도 좋아요!|날짜:2025.10.22. 15:44] || [작성자:제발 가자 올해는|내용:한종철 알지비도 좋아요!|날짜:2025.10.22. 15:44] || [작성자:unknown|내용:한종철 알지비도 좋아요!|날짜:unknown] || [작성자:unknown|내용:2025.10.22. 15:44답글쓰기0|날짜:2025.10.22. 15:44] || [작성자:unknown|내용:2025.10.22. 15:44답글쓰기|날짜:2025.10.22. 15:44],8
지역인제 질문이요??,복서강으,2025-10-22 14:49:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29035868?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,안녕하세요 올해 재수하는 아이의 아빠입니다.​거주지는 수원이고 출신학교는 천안인데 정시로 충북대 지역인제및 기회균등 전형을 쓸수 있을까요??​답변 부탁드리겠습니다.,댓글없음,0
이과 예비고 3 대치동 학원(윈터) 추천 부탁드려요.,65 오드리,2025-10-22 13:39:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29035760?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"예비고3 윈터 이과생 윈터학원 추천부탁드려요. ​내신보다 모의고사가 안정적이어서 방학동안 수리논술도 조금 해놓고 있어야 할것 같은데 ​경기도민이라 정보가 너무 없습니다. ​선배님들의 추천 부탁드립니다. ​수학은 고2 모의고사 (모두만점, 1번만 2개 틀림) ​수학의oo , 대치러o 생각하고 있습니다. ​아이가 소수로 수업하는걸 선호하고 있습니다. ​미리미리 감사드립니다.",[작성자:elipsis|내용:https://m.cafe.naver.com/suhui/28200001|날짜:2025.10.22. 14:33] || [작성자:elipsis|내용:https://m.cafe.naver.com/suhui/28200001|날짜:2025.10.22. 14:33] || [작성자:elipsis|내용:https://m.cafe.naver.com/suhui/28200001|날짜:2025.10.22. 14:33] || [작성자:elipsis|내용:https://m.cafe.naver.com/suhui/28200001|날짜:2025.10.22. 14:33] || [작성자:unknown|내용:2025.10.22. 14:33답글쓰기|날짜:2025.10.22. 14:33] || [작성자:unknown|내용:2025.10.22. 14:33답글쓰기|날짜:2025.10.22. 14:33],6
수학 등급 편차가 너무 커요 ㅠㅠ(높2~4),샤인머스캣 김치,2025-10-22 13:22:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29035743?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,현 고2이고요 고1부터 이번 10모까지 수학 등급이 2224(아파서 30분 치고 잠)3342​이렇게... 됩니다 제가 볼땐 난이도가 쉬울 땐 잘치고 난도가 어려우면 갑자기 확 내려가는듯 해요...1컷이 88일 땐 항상 84점이구 1컷이 70점대로 내려간다? 낮3~4 이렇게 확 내려가더라고요...이번 9모-10모만 봐도 그 사이에 기간이 딱 한달+그마저도 내신기간이라 사실상 모의고사 공부는 거의안했다고 봐야거든요? 근데 9모 47-> 10모 84인거 보고... 너무 의문스러워서 여쭤봅니다...진짜 제 실력은 뭐고 어떻게 보완해야할까요? 어려운 문제가 나왔을때 말리지 않고 문제푸는 연습을 해야할까요?,"[작성자:쨩6|내용:편차가 크다는 건 본인에게 맞는 시험지만 잘본다는 거고 구멍이 있는거에요~ 학년이 올라갈수록 시험이 어려워지는 이유도 있겠구요.
안정성을 위해서는 가장 낮은 점수를 본인 점수라 생각하고 하방 높이는 거 추천드립니다.|날짜:2025.10.22. 13:23] || [작성자:쨩6|내용:편차가 크다는 건 본인에게 맞는 시험지만 잘본다는 거고 구멍이 있는거에요~ 학년이 올라갈수록 시험이 어려워지는 이유도 있겠구요.
안정성을 위해서는 가장 낮은 점수를 본인 점수라 생각하고 하방 높이는 거 추천드립니다.|날짜:2025.10.22. 13:23] || [작성자:쨩6|내용:편차가 크다는 건 본인에게 맞는 시험지만 잘본다는 거고 구멍이 있는거에요~ 학년이 올라갈수록 시험이 어려워지는 이유도 있겠구요.
안정성을 위해서는 가장 낮은 점수를 본인 점수라 생각하고 하방 높이는 거 추천드립니다.|날짜:2025.10.22. 13:23] || [작성자:쨩6|내용:편차가 크다는 건 본인에게 맞는 시험지만 잘본다는 거고 구멍이 있는거에요~ 학년이 올라갈수록 시험이 어려워지는 이유도 있겠구요.
안정성을 위해서는 가장 낮은 점수를 본인 점수라 생각하고 하방 높이는 거 추천드립니다.|날짜:2025.10.22. 13:23] || [작성자:unknown|내용:2025.10.22. 13:23답글쓰기0|날짜:2025.10.22. 13:23] || [작성자:unknown|내용:2025.10.22. 13:23답글쓰기|날짜:2025.10.22. 13:23]",6
화작 조언 부탁드립니다,vyqhsixu,2025-10-22 11:55:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29035680?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,일단 화작을 되게 못하는 학생입니다. 화작에서 10점 정도 후루룩 말아먹는 일이 흔해요...​화작만 다 맞추면 2등급은 충분히 뜰 것 같은데 그게 쉽지가 않네요.​이제 자이스토리 샀던 걸로 매일 실전 연습하고 있는데​그게 화작런 전에 산거라서 언매로 샀다는 문제가...​그래서 일단 20분 빼고 공통만 풀었습니다.​제가 가지고 있는 화작문제는 수특이 전부인데요​풀세트로 풀 수 있는 건 5회밖에 남지 않았어요.​뭘 또 사야 좋을까요​그냥 자이스토리 화작으로 샀음 됐을텐데 후회가 되네요ㅠ​아니면 번거롭지만 매번 기출을 뽑을까요..? 아 근데 솔직히 진짜 귀찮은데​화작 한세트씩 15회 정도 있는 그런 문제집 추천해주세요!​아니면 수완은 어떨까요... 음 모르겠네요,[작성자:귤픗|내용:자이스토리 화작 문제집 있어요. 그거 풀어보시는거 추천|날짜:2025.10.22. 13:52] || [작성자:귤픗|내용:자이스토리 화작 문제집 있어요. 그거 풀어보시는거 추천|날짜:2025.10.22. 13:52] || [작성자:귤픗|내용:자이스토리 화작 문제집 있어요. 그거 풀어보시는거 추천|날짜:2025.10.22. 13:52] || [작성자:귤픗|내용:자이스토리 화작 문제집 있어요. 그거 풀어보시는거 추천|날짜:2025.10.22. 13:52] || [작성자:unknown|내용:2025.10.22. 13:52답글쓰기1|날짜:2025.10.22. 13:52] || [작성자:unknown|내용:2025.10.22. 13:52답글쓰기|날짜:2025.10.22. 13:52],6
국어 커리 추천해주십쇼,yiesjfnghsreh,2025-10-22 09:35:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29035539?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"현재 정시 생각해보고 있는 고2 입니다 10모 독서 1개(어휘) 문학 45번,0번부터 15번까지 있는거는 4개 틀렸습니다. 현재 고3 기출 매3비 끝나기 직전이며, 문학은 이에 비해 지금까지 해온 학습량이 적고 실력도 독서에 비해 낮습니다. 12월 부터 내신 끝나고 정시 파려고 하는데 국어 커리 추천 해주십쇼선택는 언매 선택 할거고 언매는 노배입니다. 그리고 현재 매가패스 끊었고 고3 때 마이맥(화학생명) 메가스터디 패스 끊을 예정입니다. ​현재 궁금한점도 있습니다(국어 제외)1.생명 홍준용t vs 백호t ​2.화학 김준 t들을 건데 현재 내신 하느라 개념은 숙지된 상태 크포부터 들을 까요 개념부터 할까요?​3.생명 할거면 어디부터 시작할까요? 현재 내신하느라 개념 숙지 된상태고 고2 기준 2는 나옵니다.​",[작성자:초중고시절거쳐왔어요|내용:국어 잘하시면 - 메가 강민철의 기출분석 추천 드려요…|날짜:2025.10.22. 09:46] || [작성자:초중고시절거쳐왔어요|내용:국어 잘하시면 - 메가 강민철의 기출분석 추천 드려요…|날짜:2025.10.22. 09:46] || [작성자:초중고시절거쳐왔어요|내용:국어 잘하시면 - 메가 강민철의 기출분석 추천 드려요…|날짜:2025.10.22. 09:46] || [작성자:초중고시절거쳐왔어요|내용:국어 잘하시면 - 메가 강민철의 기출분석 추천 드려요…|날짜:2025.10.22. 09:46] || [작성자:unknown|내용:2025.10.22. 09:46답글쓰기0|날짜:2025.10.22. 09:46] || [작성자:unknown|내용:2025.10.22. 09:46답글쓰기|날짜:2025.10.22. 09:46],6
"한국공학대 공식 아웃풋, 25년 취업박람회 기업 명단(오피셜)",lllliiillliiilli,2025-10-22 08:30:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29035498?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"​박람회 주요 명단- 한국단자공업, 테크윙, 펄어비스, 컬리, SK플래닛, LG CNS, 틱톡코리아, CJ 올리브영, 국민연금공단, IBK투자증권, 애경산업(AK), 미코세라믹스​산학협력- 네이버 클라우드, 카카오, SKT, 중견기업연합회, 컴투스 등​아웃풋- 대기업 중견기업 취업률 40%/대기업 공기업 취업률 30%, 정규직 90.7% 전공일치 89.1%, 특이사항 호갱노노(부동산앱 1등) 창업자",[작성자:파스고13|내용:공학대 아웃풋은 볼때마다 신기할 정도이긴 하네요...|날짜:2025.10.22. 09:09] || [작성자:파스고13|내용:공학대 아웃풋은 볼때마다 신기할 정도이긴 하네요...|날짜:2025.10.22. 09:09] || [작성자:파스고13|내용:공학대 아웃풋은 볼때마다 신기할 정도이긴 하네요...|날짜:2025.10.22. 09:09] || [작성자:파스고13|내용:공학대 아웃풋은 볼때마다 신기할 정도이긴 하네요...|날짜:2025.10.22. 09:09] || [작성자:unknown|내용:2025.10.22. 09:09답글쓰기5|날짜:2025.10.22. 09:09] || [작성자:unknown|내용:2025.10.22. 09:09답글쓰기|날짜:2025.10.22. 09:09],6
미적분 15개정도 22개정,뎋,2025-10-22 08:28:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29035495?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,08이라 15개정 문제집 풀어야 하는데지금껏 22개정책을 풀고 있었어요ㅠㅠㅠ내용 차이가 큰가요???지금이라도 갈아타는게 맞을까요?,댓글없음,0
미적 킬러 다지는 문제집 추천해주세요!,맘과함께,2025-10-22 07:44:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29035475?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"예비 고3입니다.이번 6,7,9모(90분 내) 28,30번, 10모 22번, 28번 틀리는 수준입니다.(시간 제한 없으면 위의 문제들도 대부분 풀어서 맞습니다) 약 3주간 아침 자습시간에 미적분 킬러 대비용 문제를 풀고 싶은데요미적분 킬러 다질 수 있는 문제집으로 어떤것이 좋을까요?한석원 선생님의 어삼쉬사나 한완수 괜찮은지요? 아니면 더 좋은 문제집이나 방법이 있을지요?고수 선배님들 추천 좀 부탁드립니다!​",[작성자:toosadtocry|내용:드릴이나 이해원 설맞이정도요|날짜:2025.10.22. 08:18] || [작성자:toosadtocry|내용:드릴이나 이해원 설맞이정도요|날짜:2025.10.22. 08:18] || [작성자:toosadtocry|내용:드릴이나 이해원 설맞이정도요|날짜:2025.10.22. 08:18] || [작성자:toosadtocry|내용:드릴이나 이해원 설맞이정도요|날짜:2025.10.22. 08:18] || [작성자:unknown|내용:2025.10.22. 08:18답글쓰기0|날짜:2025.10.22. 08:18] || [작성자:unknown|내용:2025.10.22. 08:18답글쓰기|날짜:2025.10.22. 08:18],6
수학 허수인데,Shyon,2025-10-22 01:08:00,https://cafe.naver.com/f-e/cafes/10197921/articles/29035410?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,수학 졸라 잘하는 법 알려주세요ㅠㅠ 거의 노베라 4등급인데 수능때 1등급 받고 싶으뮤ㅠ,[작성자:뽈뽈뽀라|내용:어떤 문제든 가리지 않고 답지 없이 풀면 됩니다 최대한 많이요|날짜:2025.10.22. 01:30] || [작성자:뽈뽈뽀라|내용:어떤 문제든 가리지 않고 답지 없이 풀면 됩니다 최대한 많이요|날짜:2025.10.22. 01:30] || [작성자:뽈뽈뽀라|내용:어떤 문제든 가리지 않고 답지 없이 풀면 됩니다 최대한 많이요|날짜:2025.10.22. 01:30] || [작성자:뽈뽈뽀라|내용:어떤 문제든 가리지 않고 답지 없이 풀면 됩니다 최대한 많이요|날짜:2025.10.22. 01:30] || [작성자:unknown|내용:2025.10.22. 01:30답글쓰기0|날짜:2025.10.22. 01:30] || [작성자:unknown|내용:2025.10.22. 01:30답글쓰기|날짜:2025.10.22. 01:30],6
