제목,URL,본문,댓글개수
예비고3  업체별 윈터스쿨 확정일?,https://cafe.naver.com/f-e/cafes/10197921/articles/29036100?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,안녕하세요예비고3 윈터스쿨강대와 러셀 대기걸어둔 상태인데업체별로 대기만받고 언제쯤 확정이돼서대기자도 연락이 올까요?대기로 못들어가면시작전에도 추가접수도 가능할까요?혹 경험있으시거나 아시는분있으시면댓글부탁드려요,6
생명과학1,https://cafe.naver.com/f-e/cafes/10197921/articles/29036050?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"생명과학 추론형 문제 중에서 2문제 정도 풀어내고 싶은데, 근수축은 풀 수 있을 것 같고 나머지 한 문제를 무엇을 풀지 고민입니다.막전위와 세포매칭 중에서 더 난이도가 낮은 문제는 뭔가요? 매번 난이도가 다른가요?",0
수능 성적 고민입니다,https://cafe.naver.com/f-e/cafes/10197921/articles/29036011?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,성적 등락폭이 심하네요국어 2등급 수학 높3등급 탐2개 1등급 영어1수학이 대부분 2등급인데 수능날 잘 못보면 떨어질거 같아요수학 3이면 중경시는 불가죠?이과입니다,6
메가교재 추천해주세요 3만원정도 ㅠㅠ,https://cafe.naver.com/f-e/cafes/10197921/articles/29035945?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"돈이 남게 생겼네요 ㅠㅠㅠ국어, 영어, 과탐생지 이렇게 공부중이고내년에 수능보려고합니다​국영 1-2등급과탐 2등급 목표입니다​​국어 강민철 강기분듣고새기분 차롄데 1강 들어보니 교재까지 필요할까마더텅 풀면서필요한 부분만 들어도되지않을까 고민하고 있는데새기분 교재 필요할까요?​​영어 마찬가지로 마더텅 푸는중인데 현역때도 독학해서독학하려고합니다​생명과학한종철 개념만 들었는데mdgc 사는게 좋겠죠?​지학오지훈 매개완 듣고오즈기출 있어요추가로 사놓으면 내년에 쓰기좋을 교재있을까요?​​이외에 돈 쓰면 안아까울교재 있을까요 흑흑",8
지역인제 질문이요??,https://cafe.naver.com/f-e/cafes/10197921/articles/29035868?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,안녕하세요 올해 재수하는 아이의 아빠입니다.​거주지는 수원이고 출신학교는 천안인데 정시로 충북대 지역인제및 기회균등 전형을 쓸수 있을까요??​답변 부탁드리겠습니다.,0
이과 예비고 3 대치동 학원(윈터) 추천 부탁드려요.,https://cafe.naver.com/f-e/cafes/10197921/articles/29035760?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"예비고3 윈터 이과생 윈터학원 추천부탁드려요. ​내신보다 모의고사가 안정적이어서 방학동안 수리논술도 조금 해놓고 있어야 할것 같은데 ​경기도민이라 정보가 너무 없습니다. ​선배님들의 추천 부탁드립니다. ​수학은 고2 모의고사 (모두만점, 1번만 2개 틀림) ​수학의oo , 대치러o 생각하고 있습니다. ​아이가 소수로 수업하는걸 선호하고 있습니다. ​미리미리 감사드립니다.",6
수학 등급 편차가 너무 커요 ㅠㅠ(높2~4),https://cafe.naver.com/f-e/cafes/10197921/articles/29035743?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,현 고2이고요 고1부터 이번 10모까지 수학 등급이 2224(아파서 30분 치고 잠)3342​이렇게... 됩니다 제가 볼땐 난이도가 쉬울 땐 잘치고 난도가 어려우면 갑자기 확 내려가는듯 해요...1컷이 88일 땐 항상 84점이구 1컷이 70점대로 내려간다? 낮3~4 이렇게 확 내려가더라고요...이번 9모-10모만 봐도 그 사이에 기간이 딱 한달+그마저도 내신기간이라 사실상 모의고사 공부는 거의안했다고 봐야거든요? 근데 9모 47-> 10모 84인거 보고... 너무 의문스러워서 여쭤봅니다...진짜 제 실력은 뭐고 어떻게 보완해야할까요? 어려운 문제가 나왔을때 말리지 않고 문제푸는 연습을 해야할까요?,6
화작 조언 부탁드립니다,https://cafe.naver.com/f-e/cafes/10197921/articles/29035680?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,일단 화작을 되게 못하는 학생입니다. 화작에서 10점 정도 후루룩 말아먹는 일이 흔해요...​화작만 다 맞추면 2등급은 충분히 뜰 것 같은데 그게 쉽지가 않네요.​이제 자이스토리 샀던 걸로 매일 실전 연습하고 있는데​그게 화작런 전에 산거라서 언매로 샀다는 문제가...​그래서 일단 20분 빼고 공통만 풀었습니다.​제가 가지고 있는 화작문제는 수특이 전부인데요​풀세트로 풀 수 있는 건 5회밖에 남지 않았어요.​뭘 또 사야 좋을까요​그냥 자이스토리 화작으로 샀음 됐을텐데 후회가 되네요ㅠ​아니면 번거롭지만 매번 기출을 뽑을까요..? 아 근데 솔직히 진짜 귀찮은데​화작 한세트씩 15회 정도 있는 그런 문제집 추천해주세요!​아니면 수완은 어떨까요... 음 모르겠네요,6
국어 커리 추천해주십쇼,https://cafe.naver.com/f-e/cafes/10197921/articles/29035539?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"현재 정시 생각해보고 있는 고2 입니다 10모 독서 1개(어휘) 문학 45번,0번부터 15번까지 있는거는 4개 틀렸습니다. 현재 고3 기출 매3비 끝나기 직전이며, 문학은 이에 비해 지금까지 해온 학습량이 적고 실력도 독서에 비해 낮습니다. 12월 부터 내신 끝나고 정시 파려고 하는데 국어 커리 추천 해주십쇼선택는 언매 선택 할거고 언매는 노배입니다. 그리고 현재 매가패스 끊었고 고3 때 마이맥(화학생명) 메가스터디 패스 끊을 예정입니다. ​현재 궁금한점도 있습니다(국어 제외)1.생명 홍준용t vs 백호t ​2.화학 김준 t들을 건데 현재 내신 하느라 개념은 숙지된 상태 크포부터 들을 까요 개념부터 할까요?​3.생명 할거면 어디부터 시작할까요? 현재 내신하느라 개념 숙지 된상태고 고2 기준 2는 나옵니다.​",6
"한국공학대 공식 아웃풋, 25년 취업박람회 기업 명단(오피셜)",https://cafe.naver.com/f-e/cafes/10197921/articles/29035498?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"​박람회 주요 명단- 한국단자공업, 테크윙, 펄어비스, 컬리, SK플래닛, LG CNS, 틱톡코리아, CJ 올리브영, 국민연금공단, IBK투자증권, 애경산업(AK), 미코세라믹스​산학협력- 네이버 클라우드, 카카오, SKT, 중견기업연합회, 컴투스 등​아웃풋- 대기업 중견기업 취업률 40%/대기업 공기업 취업률 30%, 정규직 90.7% 전공일치 89.1%, 특이사항 호갱노노(부동산앱 1등) 창업자",6
미적분 15개정도 22개정,https://cafe.naver.com/f-e/cafes/10197921/articles/29035495?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,08이라 15개정 문제집 풀어야 하는데지금껏 22개정책을 풀고 있었어요ㅠㅠㅠ내용 차이가 큰가요???지금이라도 갈아타는게 맞을까요?,0
미적 킬러 다지는 문제집 추천해주세요!,https://cafe.naver.com/f-e/cafes/10197921/articles/29035475?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"예비 고3입니다.이번 6,7,9모(90분 내) 28,30번, 10모 22번, 28번 틀리는 수준입니다.(시간 제한 없으면 위의 문제들도 대부분 풀어서 맞습니다) 약 3주간 아침 자습시간에 미적분 킬러 대비용 문제를 풀고 싶은데요미적분 킬러 다질 수 있는 문제집으로 어떤것이 좋을까요?한석원 선생님의 어삼쉬사나 한완수 괜찮은지요? 아니면 더 좋은 문제집이나 방법이 있을지요?고수 선배님들 추천 좀 부탁드립니다!​",6
수학 허수인데,https://cafe.naver.com/f-e/cafes/10197921/articles/29035410?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,수학 졸라 잘하는 법 알려주세요ㅠㅠ 거의 노베라 4등급인데 수능때 1등급 받고 싶으뮤ㅠ,6
"[뉴스] 전남대, 박사 신입생 등록금 전액 면제…연구중심대학 도약 ‘시동’",https://cafe.naver.com/f-e/cafes/10197921/articles/29035230?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"전남대학교가 연구중심대학으로의 전환을 본격화하며 대학원 전일제 박사과정 신입생에게 첫 학기 등록금을 전액 면제하는 제도를 도입한다. 연구 인재 유치를 위한 지방대학의 과감한 시도로 주목된다.​20일 전남대에 따르면 대학원은 2026학년도 1학기 입학생부터 직장을 두지 않고 연구에 전념하는 전일제 박사과정 신입생을 대상으로 첫 학기 등록금을 전액 지원한다. 산업체 재직자 등 비전일제 학생은 제외된다.​이번 제도는 대학원 진학 초기의 경제적 부담을 줄이고 연구 몰입도를 높이기 위한 ‘입학 초기 지원형 장학제’로 설계됐다. 전남대는 이미 BK21 사업 등 국책연구를 통해 대학원생 지원을 확대해 왔으나, 등록금 부담이 여전히 박사과정 진학의 걸림돌로 지적돼 왔다.​특히 박사과정은 연구 수행비와 생활비 등 추가 비용이 커 학생들의 재정적 부담이 큰 상황이다. 전남대는 이 같은 문제를 해결해 우수 인재들이 경제적 이유로 연구를 포기하지 않도록 돕고, 초기 연구 몰입 기반을 강화할 계획이다.​지역사회에서는 이번 조치가 광주·전남권 연구 인재 유치와 지방대학 경쟁력 제고에 긍정적인 효과를 낼 것으로 기대하고 있다.​​https://news.mtn.co.kr/news-detail/2025102020572573664 전남대, 박사 신입생 등록금 전액 면제…연구중심대학 도약 ‘시동’ 전남대학교가 연구중심대학으로의 전환을 본격화하며 대학원 전일제 박사과정 신입생에게 첫 학기 등록금을 전액 면제하는 제도를 도입한다. 연구 인재 유치를 위한 지방대학의 과감한 시도로 주목된다.20일 전남대에 따르면 대학원은 2026학년도 1학기 입학생부터 직장을 두지 않고 연구에 전념하는 전일제 박사과정 신입생을 대상으로 첫 학기 등록금을 전액 지원한다. 산업체 재직자 등 비전일제 학생은 제외된다.이번 제도는 대학원 진학 초기의 경제적 부담을 줄이고 연구 몰입도를 높이기 위한 ‘입학 초기 지원형 장학제’로 설계됐다. 전남대는 news.mtn.co.kr ​",0
커뮤니티 공대 순위 최신,https://cafe.naver.com/f-e/cafes/10197921/articles/29035220?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,​,6
"[뉴스] '글로컬대' 충남대·공주대...""쉽지 않은 통합"" (26년 3월 신청서 제출 예정)",https://cafe.naver.com/f-e/cafes/10197921/articles/29035215?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"(취재 내용 발췌)​""독단적인 사업 추진 중단하라. (중단하라, 중단하라.)"" 충남대 본부 앞에 각 학과 깃발을 든 학생들이 구호를 외치며 통합 반대 시위에 나섰습니다.​학생들은 충남대 교명 보장과 별도 캠퍼스 운영, 유사학과 강제 통폐합 반대, 졸업장 구분 표기, 본부 대덕캠퍼스 유지 등 5가지를 요구하고 있습니다. ​교수들도 사업 선정 환영과는 별개로 상황이 녹록지 않다며 우려를 나타냈습니다. 충남대 교수회는 입장문에서 앞선 계획서가 교명, 본부 위치, 총장 선출 방식 등 갈등 소지를 제대로 다루지 않았다며, 통합추진 위원회에 교수진 참여 보장, 통합추진 전용 게시판 설치와 재정 투명성 등 정보 공개와 단과대학 동의 절차 등 4대 원칙을 제시했습니다.​주항연/ 충남대 교수회 부회장 ""통합을 전제하고 일을 추진한 지금 정황이거든요. 그래서 그렇게 하다 보니까 본부가 이제 유리한 데이터라든지 유리한 정보만 이제 그 구성원들한테 알려서..""​공주에도 통합을 반대하는 현수막이 곳곳에 내걸렸습니다. 통합이 일방적으로 추진될 경우 지역대학의 정체성이 훼손되고, 지역사회 경제·문화적 기반이 약화할 수 있다고 우려합니다.​서봉균/공주참여자치시민연대 사무처장 ""통합과 관련돼서 공주시민이나 단체들이 거기에 의견을 낼 수 있을 만한 통로가 전혀 없다라고 하는 것이 저희들이 답답하고..""​공주대 학생들 역시 지금도 천안, 예산으로 나뉜 캠퍼스로 불편이 크다며 공주대 ·충남대가 아닌 새 교명 등 4대 요구사항을 내놨습니다.​신경섭/공주대 총학생회장 ""첫 번째로는 교명은 제3의 교명으로 가야 된다. 그리고 졸업장의 경우에도 통합대학의 교명으로 나와야 한다""​교수와 학생, 지역사회의 반발 속에 내년 3월 통합 신청서 제출을 위한 소통이 무엇보다 중요해지고 있습니다. ​https://tjmbc.co.kr/article/JZTKyY7jmCGCY '글로컬대' 충남대·공주대...""쉽지 않은 통합""/투데이 ::::: 기사 '글로컬대' 충남대·공주대...""쉽지 않은 통합""/투데이 tjmbc.co.kr ​",0
수학 10모,https://cafe.naver.com/f-e/cafes/10197921/articles/29035190?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,여기서 최솟값 17이 나오는 x좌표가 루트2/2t라고 생각했는데 해설강의나 답지에서는 아니라고 합니다.​사차함수 비율관계 루트2 대 1로 저렇게 나올 거라고 생각했는데 혹시 비율관계를 잘못 적용한 건지 알려주시면 감사하겠습니다.,6
수학 기출문제,https://cafe.naver.com/f-e/cafes/10197921/articles/29035074?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"오르새 쌤께서 강의 중에 언급하신 건데f(x)에 미정계수 a,b가 지정되어 있고 f(1)<1 이런 조건으로 판별식 쓰는 문젠데 합답형 선지 ㄷ에 f(x)=f'(k)인 k가 4개 존재한다라네요! 약간 어렴풋이 a<b<3 뭐 이런 조건이었나.. 기억이 날랑말랑하는데 언제 문젠지 아시면 알려주세요!",0
화공 생기부로 신소재 뚫기,https://cafe.naver.com/f-e/cafes/10197921/articles/29035038?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,화공에 맞춰진 생기부로 신소재공학과 지원 시에 어떨까요?,6
경북대 컴공과 정시로 가려면,https://cafe.naver.com/f-e/cafes/10197921/articles/29034958?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,​어느정도 나와야 하나요?입학처 가봐도 입결이 안나오네요,6
고려대 공대 정시생 사탐런?,https://cafe.naver.com/f-e/cafes/10197921/articles/29034911?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"고려대 공대 가고 싶은데 탐구 둘다 과학으로 가야할까요? 가산점을 도저히 무시 못 하겠어요.. 원래 물리1, 정법 이렇게 할 계획이었는데 최상위 대학을 가려면 둘 다 과탐을 해야 하는 건지 고민 되네요..",0
예비고3(08) 자퇴후 기숙,https://cafe.naver.com/f-e/cafes/10197921/articles/29034890?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,지방 일반고인데 내신이 5점대라 더 이상 수시를 챙길 이유가 없는것 같아서 정시만 보고 공부할 생각이었어요생각보다 학교다니면서 정시만 공부하는게 쉽지 않기도 하고 교육과정이 바뀌면서 재수도 못하니 더 집중해서 하는게 맞을것 같다는 판단에 자퇴후 기숙학원을 가려고 합니다검정고시는 내년 8월에 칠 예정이에요모고는 평균적으로 3등급 나와요진짜 열심히 하려고 마음 먹었는데 생각보다 쉽지 않네요​예비고3 이과 여학생 입니다기숙학원 괜찮은곳 자세히 알려주시면 감사하겠습니다​,6
To.선배님들-긴장하면 잘 체하는데 수능 전에 뭘 먹어야 하죠?,https://cafe.naver.com/f-e/cafes/10197921/articles/29034857?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"제가 잘 체하는 타입인데 그저께 체했는데 지금 안좋거든요. 근데 체 한 번 하면 진짜 심해서 막 헛구역질하고 어지럽고 글씨 여러개로 보이고 명치 아프고 난리나요.​ 제가 여자고 키가 163~165cm 정도인데 몸무게 40~42kg 정도 저체중이고 많이 먹지도 않고 그냥 딱 1인분~1인분 살짝 넘게 정도만 먹는데요.​ 긴장하면 그냥 자꾸 체하고 물만 먹어도 울렁 거려요. 병원에서 여러 번 검사해봤는데 학교, 학원 때문에 밥 먹는 시간이 불규칙하고 밥 먹고 바로 자서 위가 안 좋아진 거래요. 그리고 스트레스성 위경련이나 스트레스 때문에 급성 과민성 대장증후군 와서 병원에서 X-ray 찍고 약 먹은 적이 많거든요. 또 스트레스 받거나 긴장할 때 소화 불량 엄청 심해요.​ 그래서 밥을 11/10부터 11/13까지 4일 동안 물만 먹고 굶어야 될까요? 아님 뭘 먹어야 될까요? 수능 봐보신 선배님들 조언 부탁드려요.​(+원래 아침에 입맛 없어서 밥 안 먹고 다니고, 육류ㆍ어류ㆍ가공식품보다 채소를 더 좋아해서 채소 먹어도 상관 없긴 한데 중딩 때 시험 전날 저녁에만 샐러드 먹은 적이 몇번 있는데도 속이 안좋아서 병원 다녀왔어요=>전날이나 점심에 먹은 게 체한 걸지도...)",6
지1 문제 질문 - 엘니뇨 라니냐,https://cafe.naver.com/f-e/cafes/10197921/articles/29034536?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,저는 둘다 바꿔서도 해석 가능하다고 보는데 이거 설명 좀 해주실분 ㅜㅜ,6
EBS 파이널 봉투고사,https://cafe.naver.com/f-e/cafes/10197921/articles/29034511?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,EBS 파이널 모고는 질이 어떤지 혹시 경험해 보신 분 조언 부탁합니다다른 대중적인 모고와 비교해서 풀 만 한지 그렇지 않은지 궁금합니다,6
최근 공개한 따끈따끈한 대학교 순위 ..,https://cafe.naver.com/f-e/cafes/10197921/articles/29034493?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"1.서울대 2.성균관대3.카이스트4.연세대5.고려대6.한양대7.경희대8.세종대9.중앙대10.이화여대11.경북대12.부산대13.아주대14.서강대15.건국대16.전남대17.충남대18.가톨릭대19.인하대20.전북대21.영남대 22.충북대23.동국대24.울산대25.과기대26.시립대27.가천대… 인서울 대학 중에서는 세종대가 확실히 연구성과가 좋은거 같고 지거국들이 대외적으로 높은 취급을 받는군요. 출처: https://www.hankyung.com/article/2025092443477 2025 INUE·한경 대학평가 순위 2025 INUE·한경 대학평가 순위, 사회 www.hankyung.com ​",6
수능수학,https://cafe.naver.com/f-e/cafes/10197921/articles/29034307?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"6모 3 9모 3 10모 2 (미적)아직 기출도 덜돌렸고 자이,n티켓은 복습을 안해서 내용 다까먹었어요 ..인생 망할거 같아서 남은기간동안 수학 뭘 공부해야되나요 ,,​",6
정시에서 이 시점 가장 해야될 것 4가지,https://cafe.naver.com/f-e/cafes/10197921/articles/29034169?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"이제 수능이 약 3주 남았는데요. 긴 글 읽을 시간도 없으시니 짧게 하겠습니다.​1. 컨디션 관리: 일교차가 매우 크고 기온이 빠르게 변합니다. 면역력 내려가기 쉽상이니 감기 조심하세요. 꼭 마스크 쓰고 다니시고 따뜻한 물 자주 마셔주면 좋습니다.​2. 수면 매턴 맞추기: 6시 반 정도에 기상하는 연습 무조건 계속 해주셔야합니다. 평소랑 다르게 갑자기 수능날 하면 큰 일 날 수도 있습니다.​3. 화장실 시간대 조절하기: 이건 좀 웃길 수 있지만 생각ㅂㅎ다 진짜 중요합니다. 특히나 국어 시간에 화장실 갈 일 없도록 시간대 조절하는게 좋습니다. 이왕이면 저녁에 가면 좋겠죠.​4. 기출 돌아보기, 특히 이번 69모: 냉정하게 남은 시간에 큰 변화을 기대하기에는 힘듦니다. 그러니 새로운 문제들보단 기출을 다시 돌아보며 배웠던 내용들을 상기시키면 좋을 것 같습니다. 개념 회독도 같이 하면 배로 좋겠죠. 특히 69모는 여러번 돌려보셔야합니다.",0
"[뉴스] 충남대학교, ‘세계 상위 2% 연구자’에 총 49명 선정",https://cafe.naver.com/f-e/cafes/10197921/articles/29034138?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"충남대학교(총장 김정겸)는 미국 스탠퍼드대학교와 출판사 엘스비어(Elsevier)가 공동 발표한 ‘Top 2% Scientists List(전 세계 상위 2% 연구자)’에서 총 49명의 연구자가 선정되며, 연구 중심 거점국립대학으로서의 위상을 공고히 했다고 밝혔다.​최근 스탠퍼드대학교와 글로벌 정보분석·연구 논문 출판기업인 엘스비어가 SCOPUS 기반 논문을 바탕으로 논문 수 및 피인용도, H-index, 학문 분야 랭킹 등 다양한 지표를 활용해 매년 전세계 상위 2%의 연구자를 선정한 가운데, 충남대는 총 49명의 연구자가 이름을 올리는 쾌거를 거뒀다.​이번 선정에서는 생애업적(커리어) 기준 28명, 2024년 단년 기준 39명이 이름을 올렸으며, 두 기준을 모두 충족한 연구자를 포함해 총 49명이 선정됐다. 아울러, 공학·약학·자연과학·농학 등 이공계 전 분야에서 우수한 연구 성과가 고르게 분포했다.​특히, CNU 석학교수 조은경(의과대학)을 비롯해 정혜광(약학대학), 이영석·박원호·김종훈·정슬(공과대학), 손영구(자연과학대학) 교수 등 7명은 미생물학, 독성학, 고분자공학, 전기전자공학, 산업공학, 재료과학 등 각 분야에서 전 세계 상위 1% 이내 연구자로 선정되며 세계적 수준의 연구력을 입증했다.​https://www.lecturernews.com/news/articleView.html?idxno=188903 충남대학교, ‘세계 상위 2% 연구자’에 총 49명 선정 - 한국강사신문 [한국강사신문 장한별 기자] 충남대학교(총장 김정겸)는 미국 스탠퍼드대학교와 출판사 엘스비어(Elsevier)가 공동 발표한 ‘Top 2% Scientists List(전 세계 상위 2% 연구자)’에서 총 49명의 연구자가 선정되며... www.lecturernews.com ​",0
[뉴스] 광운대 '중소기업 AI 미디어솔루션과' 신설,https://cafe.naver.com/f-e/cafes/10197921/articles/29034136?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"광운대학교(총장 천장호)는 중소기업 재직자 대상의 실무형 AI 전문 인재 양성을 위해 ‘중소기업 AI 미디어솔루션학과’를 신설한다고 밝혔다.​이번 학과 신설은 중소벤처기업부가 주관하는 ‘중소기업 계약학과 설치·운영사업’에 광운대학교가 최종 선정되면서 추진됐다. 이에 따라 광운대는 2026학년도부터 일반대학원 내에 해당 석사과정을 본격적으로 운영할 계획이다.​‘중소기업 계약학과 설치·운영사업’은 산업 현장의 수요를 반영해 중소기업 근로자에게 맞춤형 석·박사 학위과정을 제공하고, 기업의 디지털 전환과 기술 혁신을 이끌 핵심 인재를 양성하는 정부 지원 프로그램이다. 참여 학생은 학업과 재직을 병행하며, 등록금 일부는 정부와 기업이 공동 부담한다.​https://www.joongang.co.kr/article/25349929 광운대 '중소기업 AI 미디어솔루션과' 신설 | 중앙일보 광운대학교(총장 천장호)는 중소기업 재직자 대상의 실무형 AI 전문 인재 양성을 위해 ‘중소기업 AI 미디어솔루션학과’를 신설한다고 밝혔다. ‘중소기업 계약학과 설치·운영사업’은 산업 현장의 수요를 반영해 중소기업 근로자에게 맞춤형 석·박사 학위과정을 제공하고, 기업의 디지털 전환과 기술 혁신을 이끌 핵심 인재를 양성하는 정부 지원 프로그램이다. 광운대가 신설하는 ‘중소기업 AI 미디어솔루션학과’는 인공지능(AI), 데이터 분석 등 디지털 전환 시대에 필요한 실무형 역량 강화에 중점을 두고 교육과정을 운영할 예정이다. www.joongang.co.kr ​",0
고2 확률과 통계 이거 재학생이 풀수 있나요?(feat. 교육과정 벗어난거 아닌가요?),https://cafe.naver.com/f-e/cafes/10197921/articles/29034102?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,확률과 통계문제입니다.,6
목동 이투스 잇올,https://cafe.naver.com/f-e/cafes/10197921/articles/29034057?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,광고댓글xx​잇올은 3관 이투스는 오목교관입니다어디갈지 고민중인데 조언해주세요,6
